Metro,Quarter,Employment,Emp_Change,Skilled labor per 100 jobs,Skilled color,College degrees per 100 people,Degree color,Size
"Atlanta, GA",20141,1763294.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20142,1578411.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20143,1807452.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20144,1290903.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20151,2074393.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20152,1688167.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20153,1814836.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20154,2051020.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20161,1982465.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20162,2130539.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20163,1937019.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20164,1978477.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20171,2052223.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20172,2085058.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20173,2040927.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20174,2083148.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20181,2156911.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20182,2129826.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20183,2253544.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20184,2094388.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20191,2352146.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20192,2252273.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20193,2246585.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20194,2415737.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
"Atlanta, GA",20201,2239088.0,0.27,38.7,green,66.2,red,Large metro (pop. >1M)
